id,cliente_id,producto_id,fecha,cantidad,total
1,75,24,2022-09-02,2,142000.0
2,12,19,2022-08-24,3,660000.0
3,96,27,2022-09-05,2,160000.0
4,26,9,2024-02-13,5,1320000.0
5,47,34,2022-09-11,5,425000.0
6,35,11,2023-11-13,3,552000.0
7,62,19,2022-11-02,3,660000.0
8,15,30,2024-08-25,1,185000.0
9,19,49,2022-07-16,2,158000.0
10,87,47,2024-10-11,4,356000.0
11,72,24,2024-09-02,1,71000.0
12,51,1,2024-09-02,3,318000.0
13,69,8,2023-09-08,4,904000.0
14,48,44,2025-02-17,3,330000.0
15,75,25,2022-10-20,3,348000.0
16,14,44,2024-01-12,2,220000.0
17,61,2,2023-10-15,5,290000.0
18,72,21,2025-02-10,5,1340000.0
19,29,42,2024-01-31,1,80000.0
20,82,30,2022-07-02,3,555000.0
21,84,27,2023-07-04,1,80000.0
22,18,3,2024-11-01,1,229000.0
23,39,32,2023-08-12,1,167000.0
24,13,16,2023-10-12,5,700000.0
25,18,25,2022-09-21,4,464000.0
26,48,43,2024-09-27,5,1070000.0
27,54,38,2024-06-10,2,564000.0
28,54,42,2023-03-10,1,80000.0
29,63,40,2022-12-10,4,252000.0
30,36,3,2025-01-28,3,687000.0
31,28,29,2024-05-02,4,1060000.0
32,31,24,2023-03-28,1,71000.0
33,88,24,2022-09-29,5,355000.0
34,83,23,2023-10-09,1,55000.0
35,51,18,2024-08-25,2,290000.0
36,16,30,2023-11-05,1,185000.0
37,85,14,2022-10-09,5,745000.0
38,3,4,2023-06-20,3,756000.0
39,32,9,2024-09-21,5,1320000.0
40,27,5,2023-03-31,5,520000.0
41,27,38,2024-02-09,2,564000.0
42,30,22,2024-09-01,2,286000.0
43,77,1,2024-12-04,3,318000.0
44,19,9,2024-11-22,5,1320000.0
45,33,12,2025-02-25,1,221000.0
46,85,2,2025-01-06,2,116000.0
47,2,23,2024-08-25,2,110000.0
48,76,21,2022-05-24,1,268000.0
49,23,17,2024-11-15,1,88000.0
50,17,48,2025-01-29,4,868000.0
51,68,8,2025-03-26,1,226000.0
52,61,29,2023-06-03,3,795000.0
53,66,38,2022-05-28,1,282000.0
54,58,33,2023-01-19,2,302000.0
55,79,3,2023-06-12,5,1145000.0
56,39,30,2025-04-09,1,185000.0
57,8,31,2023-08-06,4,392000.0
58,55,44,2023-09-23,1,110000.0
59,63,46,2023-10-11,4,704000.0
60,10,6,2022-04-23,3,786000.0
61,78,10,2023-01-20,1,143000.0
62,17,18,2022-11-22,5,725000.0
63,82,38,2024-09-09,5,1410000.0
64,92,21,2025-01-29,4,1072000.0
65,77,34,2023-12-27,3,255000.0
66,59,33,2022-07-31,5,755000.0
67,56,7,2022-11-20,1,293000.0
68,84,42,2024-12-22,5,400000.0
69,93,14,2022-05-31,4,596000.0
70,58,15,2022-09-03,4,944000.0
71,44,30,2024-07-16,4,740000.0
72,54,47,2023-03-14,1,89000.0
73,41,28,2023-11-19,3,156000.0
74,86,17,2024-01-26,3,264000.0
75,20,44,2024-03-18,4,440000.0
76,9,6,2023-09-25,1,262000.0
77,12,28,2022-12-14,1,52000.0
78,96,48,2023-11-09,3,651000.0
79,17,36,2023-08-11,1,292000.0
80,76,36,2023-08-30,5,1460000.0
81,43,43,2024-09-11,1,214000.0
82,53,23,2024-10-26,4,220000.0
83,93,4,2022-08-23,3,756000.0
84,77,20,2022-07-04,3,477000.0
85,14,37,2022-12-11,5,1330000.0
86,28,10,2022-12-14,4,572000.0
87,29,7,2024-11-28,3,879000.0
88,72,24,2022-06-30,1,71000.0
89,98,18,2025-02-23,5,725000.0
90,29,28,2022-08-18,5,260000.0
91,99,40,2023-06-10,5,315000.0
92,87,42,2024-03-02,5,400000.0
93,4,39,2025-02-05,3,291000.0
94,4,12,2024-02-01,3,663000.0
95,90,49,2024-05-07,3,237000.0
96,44,23,2024-11-12,1,55000.0
97,24,10,2024-02-29,5,715000.0
98,85,26,2024-01-17,1,150000.0
99,19,48,2023-06-12,1,217000.0
100,12,48,2023-03-14,5,1085000.0
101,28,25,2024-06-17,4,464000.0
102,59,22,2022-10-07,2,286000.0
103,48,20,2023-10-02,3,477000.0
104,100,37,2024-02-10,5,1330000.0
105,11,4,2022-10-03,2,504000.0
106,21,49,2023-06-28,5,395000.0
107,7,44,2025-03-02,1,110000.0
108,35,29,2025-03-02,4,1060000.0
109,63,39,2024-10-21,4,388000.0
110,54,18,2024-05-08,2,290000.0
111,97,33,2024-07-10,1,151000.0
112,45,28,2025-02-13,1,52000.0
